ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
T-d5352f,A-c1e51e,1/23/2023,1/25/2023 5:00,53,high,148,3,FALSE
T-5f94dd,A-d82ef9,12/31/2024,12/31/2024 13:00,13,high,149,4,FALSE
T-d0ff21,A-378b99,7/11/2023,7/12/2023 10:00,34,medium,40,5,FALSE
T-1d7cfb,A-05d3b3,8/11/2024,8/11/2024 15:00,15,urgent,44,5,FALSE
T-759c6f,A-fb186e,1/11/2023,1/12/2023 19:00,43,medium,132,3,FALSE
T-0c378b,A-f03140,12/4/2023,12/5/2023 17:00,41,low,169,,FALSE
T-bde8aa,A-781cc0,8/1/2024,8/2/2024 7:00,31,high,133,,FALSE
T-bf01b8,A-59f724,6/21/2024,6/21/2024 19:00,19,urgent,30,4,FALSE
T-926f27,A-34d880,10/5/2024,10/7/2024 16:00,64,low,127,3,FALSE
T-952a1a,A-9bfc9f,6/4/2023,6/6/2023 15:00,63,high,168,4,TRUE
T-361edc,A-eb7fac,3/18/2023,3/18/2023 23:00,23,low,112,,FALSE
T-2d4793,A-ce550d,2/12/2024,2/12/2024 3:00,3,urgent,88,,FALSE
T-9bfb24,A-ad64c6,7/2/2024,7/4/2024 20:00,68,high,2,5,FALSE
T-abcd41,A-6da850,11/1/2024,11/2/2024 12:00,36,medium,44,,FALSE
T-5b0ebb,A-cea1f0,3/22/2023,3/23/2023 5:00,29,high,17,,FALSE
T-2e5c7e,A-ff79f2,9/4/2024,9/6/2024 15:00,63,low,136,,FALSE
T-ac4493,A-66224b,8/12/2023,8/14/2023 5:00,53,medium,172,4,FALSE
T-6f11a3,A-a1b80b,5/13/2023,5/15/2023 10:00,58,urgent,18,,FALSE
T-88949f,A-68f37c,10/26/2024,10/27/2024 19:00,43,low,173,,FALSE
T-d612f3,A-bb1486,5/19/2024,5/19/2024 18:00,18,low,1,3,FALSE
T-c127ef,A-149a69,10/1/2024,10/2/2024 1:00,25,high,170,4,FALSE
T-6858fa,A-034368,5/4/2024,5/5/2024 0:00,24,medium,51,,FALSE
T-6db7d8,A-e888d1,12/6/2023,12/7/2023 2:00,26,urgent,68,3,FALSE
T-ad4ec7,A-560d27,2/28/2024,2/28/2024 12:00,12,low,62,3,FALSE
T-a51205,A-cd458b,7/4/2023,7/5/2023 18:00,42,urgent,76,3,FALSE
T-4dd126,A-af0cd2,6/27/2024,6/28/2024 12:00,36,medium,123,,FALSE
T-6750a4,A-a33200,3/14/2024,3/15/2024 13:00,37,low,101,,FALSE
T-33d113,A-7e0a10,8/11/2024,8/12/2024 9:00,33,high,30,,FALSE
T-58506b,A-158f4e,12/14/2023,12/14/2023 13:00,13,urgent,124,4,FALSE
T-753ba1,A-4bfa33,12/8/2023,12/8/2023 19:00,19,high,29,,FALSE
T-59d67b,A-86902e,3/21/2024,3/23/2024 0:00,48,urgent,17,3,FALSE
T-6ec2a9,A-9208f0,6/21/2023,6/23/2023 22:00,70,low,3,,FALSE
T-b1d1d0,A-bcf664,8/13/2023,8/14/2023 1:00,25,urgent,128,3,FALSE
T-130a82,A-cb5333,8/22/2023,8/23/2023 1:00,25,low,35,3,FALSE
T-66d999,A-b44e3e,6/26/2023,6/27/2023 15:00,39,urgent,41,5,FALSE
T-037337,A-378b99,7/11/2024,7/11/2024 16:00,16,low,1,,FALSE
T-342b36,A-cc102e,10/17/2024,10/19/2024 13:00,61,low,177,5,FALSE
T-223760,A-2edab2,4/1/2023,4/3/2023 11:00,59,low,124,,FALSE
T-9eb2b5,A-dcc3f1,1/16/2024,1/17/2024 6:00,30,urgent,144,5,FALSE
T-f3e7c5,A-756192,1/23/2023,1/23/2023 17:00,17,urgent,119,5,FALSE
T-116af1,A-dcc2f0,5/8/2024,5/10/2024 4:00,52,urgent,93,,FALSE
T-29279c,A-812c5b,2/20/2023,2/21/2023 19:00,43,urgent,127,4,FALSE
T-b0acc7,A-1f559b,8/27/2023,8/29/2023 0:00,48,medium,126,4,FALSE
T-d32d8c,A-c1e51e,1/4/2023,1/5/2023 1:00,25,urgent,55,4,FALSE
T-cb9d4b,A-fd7ad3,7/6/2023,7/7/2023 14:00,38,medium,144,4,FALSE
T-475284,A-d27f50,4/13/2024,4/13/2024 15:00,15,low,99,3,FALSE
T-411989,A-2446e3,10/27/2024,10/27/2024 8:00,8,medium,148,4,FALSE
T-863bcf,A-bece89,5/28/2024,5/29/2024 2:00,26,medium,163,4,TRUE
T-866ebe,A-b07b56,6/5/2023,6/6/2023 3:00,27,urgent,115,,FALSE
T-e0c9bf,A-6da850,1/10/2023,1/12/2023 21:00,69,medium,26,,FALSE
T-458e24,A-f25509,3/27/2024,3/27/2024 20:00,20,medium,147,4,FALSE
T-c8be02,A-378b99,11/3/2023,11/5/2023 1:00,49,medium,115,5,FALSE
T-7f088c,A-4e44e8,6/21/2023,6/23/2023 23:00,71,low,175,4,FALSE
T-4a0f02,A-186a44,1/21/2023,1/23/2023 3:00,51,urgent,61,,FALSE
T-f3f1b8,A-dbc825,4/11/2024,4/13/2024 22:00,70,low,122,,FALSE
T-79b057,A-31ab9a,1/22/2023,1/23/2023 3:00,27,low,66,4,FALSE
T-11534a,A-524364,3/21/2023,3/23/2023 17:00,65,low,110,5,FALSE
T-c0d8b2,A-8b0451,12/1/2024,12/3/2024 1:00,49,urgent,23,3,FALSE
T-ad6a24,A-7e0a10,12/18/2024,12/19/2024 22:00,46,urgent,43,,FALSE
T-cbc17d,A-7c5768,9/30/2024,9/30/2024 19:00,19,medium,62,,FALSE
T-1d4920,A-b7b7b7,5/11/2024,5/11/2024 9:00,9,low,101,,FALSE
T-ef0a78,A-ad296b,9/9/2024,9/10/2024 14:00,38,medium,81,3,FALSE
T-b369df,A-c7e58b,8/13/2024,8/13/2024 16:00,16,low,125,3,FALSE
T-29e9b8,A-4a267b,5/17/2023,5/17/2023 7:00,7,low,166,5,FALSE
T-96702f,A-9077b0,9/14/2023,9/16/2023 20:00,68,high,176,5,FALSE
T-9df3b0,A-eb2fdc,1/23/2023,1/25/2023 7:00,55,low,42,4,FALSE
T-a39933,A-ed510f,1/31/2023,2/1/2023 20:00,44,urgent,129,5,FALSE
T-7febc0,A-779e4e,1/27/2023,1/28/2023 9:00,33,urgent,79,3,FALSE
T-84717f,A-f19409,11/12/2024,11/12/2024 1:00,1,urgent,90,4,FALSE
T-135f77,A-cd458b,12/2/2024,12/4/2024 5:00,53,medium,146,5,FALSE
T-41014e,A-a0ca4e,12/2/2024,12/4/2024 13:00,61,high,40,,FALSE
T-5c0331,A-940b8b,10/25/2024,10/26/2024 23:00,47,high,47,,FALSE
T-3ec096,A-f97b9a,6/18/2023,6/20/2023 11:00,59,high,32,3,FALSE
T-251fda,A-856b1e,9/15/2024,9/15/2024 1:00,1,low,123,,FALSE
T-8d3d46,A-30b4ca,9/2/2024,9/4/2024 16:00,64,medium,131,,FALSE
T-051e5b,A-e08cd3,9/20/2023,9/20/2023 11:00,11,urgent,59,5,FALSE
T-429ce6,A-c45b23,5/30/2024,5/30/2024 7:00,7,high,55,3,FALSE
T-3367b8,A-ba6516,7/17/2023,7/19/2023 18:00,66,low,14,,FALSE
T-1e3043,A-b78bf8,2/19/2024,2/19/2024 2:00,2,urgent,89,5,FALSE
T-c0ce04,A-94f8c9,8/30/2024,9/1/2024 3:00,51,urgent,29,,FALSE
T-864e85,A-9bfc9f,3/1/2024,3/3/2024 10:00,58,low,72,3,FALSE
T-2b1a0a,A-89ee83,10/5/2024,10/5/2024 13:00,13,medium,35,4,TRUE
T-5c9e4d,A-c7e58b,12/16/2024,12/18/2024 7:00,55,urgent,104,,FALSE
T-af95b8,A-58b9ff,11/30/2023,12/2/2023 17:00,65,low,120,4,FALSE
T-471c3e,A-3ce5b8,8/15/2024,8/16/2024 17:00,41,high,89,4,FALSE
T-862ab3,A-31ab9a,6/16/2024,6/18/2024 11:00,59,medium,85,3,FALSE
T-7b0fe1,A-716841,4/3/2023,4/4/2023 16:00,40,low,176,,FALSE
T-ac5eaa,A-55f257,5/22/2023,5/23/2023 12:00,36,urgent,144,5,FALSE
T-f27d8b,A-7920cc,9/30/2023,10/1/2023 23:00,47,urgent,113,,FALSE
T-60706c,A-2922b6,10/2/2024,10/3/2024 3:00,27,urgent,136,,FALSE
T-3a3aa1,A-3b5cd1,10/21/2023,10/21/2023 9:00,9,low,24,4,FALSE
T-e74b9f,A-94d3da,6/10/2024,6/11/2024 12:00,36,low,98,3,FALSE
T-dfad13,A-5b1bcd,12/17/2024,12/17/2024 5:00,5,urgent,143,5,FALSE
T-60c481,A-5247b3,7/29/2024,7/31/2024 9:00,57,urgent,131,4,FALSE
T-772cfe,A-e51ec7,10/5/2024,10/6/2024 21:00,45,high,87,5,FALSE
T-187648,A-592832,10/27/2024,10/28/2024 17:00,41,medium,51,,FALSE
T-48f8ab,A-dcc2f0,7/20/2023,7/20/2023 2:00,2,medium,107,,FALSE
T-35ba6a,A-ab438f,3/3/2024,3/3/2024 4:00,4,urgent,139,3,FALSE
T-5b9038,A-d922bf,7/16/2024,7/16/2024 23:00,23,high,7,3,FALSE
T-690c29,A-c222ab,12/1/2024,12/3/2024 23:00,71,medium,77,5,FALSE
T-3f754a,A-bb3bd4,9/25/2024,9/25/2024 14:00,14,urgent,36,5,FALSE
T-367563,A-e61e98,11/23/2024,11/23/2024 5:00,5,medium,175,,FALSE
T-0079ed,A-cc98bc,6/13/2023,6/13/2023 3:00,3,urgent,125,,FALSE
T-69e92c,A-ccabf0,9/27/2023,9/28/2023 22:00,46,medium,114,3,FALSE
T-e3d7af,A-526d93,11/13/2024,11/15/2024 6:00,54,low,157,,FALSE
T-f708b2,A-bc87bc,10/11/2023,10/11/2023 11:00,11,low,177,3,FALSE
T-b2b3fd,A-7df7a7,3/19/2024,3/20/2024 2:00,26,high,132,3,TRUE
T-1dc468,A-4c6f11,11/29/2023,11/29/2023 20:00,20,urgent,14,5,FALSE
T-b78a44,A-9208f0,9/27/2023,9/28/2023 8:00,32,medium,103,4,FALSE
T-194946,A-65aeb5,8/10/2023,8/11/2023 8:00,32,low,173,,FALSE
T-cbfee6,A-5247b3,6/11/2023,6/13/2023 4:00,52,high,173,,FALSE
T-ea7839,A-ba6516,3/17/2024,3/18/2024 0:00,24,low,58,3,FALSE
T-32cb13,A-1986ca,6/14/2023,6/14/2023 15:00,15,urgent,146,4,FALSE
T-88d5fe,A-0b0d6d,1/14/2024,1/15/2024 17:00,41,urgent,59,,FALSE
T-a80500,A-fce879,1/16/2023,1/17/2023 5:00,29,medium,74,3,FALSE
T-325ab2,A-f03140,9/21/2023,9/22/2023 19:00,43,medium,71,,FALSE
T-cfae4d,A-fdfc91,1/27/2023,1/28/2023 20:00,44,urgent,55,4,FALSE
T-cc5da4,A-86cdb4,8/7/2023,8/9/2023 14:00,62,high,33,5,FALSE
T-387b29,A-956988,4/20/2024,4/21/2024 20:00,44,low,83,,FALSE
T-86268f,A-157070,12/4/2024,12/6/2024 12:00,60,low,176,3,FALSE
T-ef99b1,A-eb1312,9/4/2023,9/6/2023 20:00,68,low,117,5,FALSE
T-89ae7a,A-503d5a,1/11/2024,1/14/2024 0:00,72,high,107,5,FALSE
T-7c37e5,A-8b0451,12/10/2024,12/11/2024 23:00,47,urgent,104,,FALSE
T-bd64bb,A-5a92e7,4/25/2023,4/27/2023 19:00,67,urgent,172,5,FALSE
T-6deaa1,A-5f2961,6/30/2023,7/2/2023 5:00,53,high,19,,FALSE
T-1c52db,A-8e47ca,1/4/2023,1/5/2023 22:00,46,medium,90,,FALSE
T-be05b0,A-396e5f,8/15/2024,8/16/2024 5:00,29,urgent,27,,FALSE
T-ffd35f,A-bb1eaa,10/15/2023,10/17/2023 10:00,58,urgent,106,,FALSE
T-d15fe8,A-600734,3/15/2024,3/17/2024 19:00,67,high,88,4,FALSE
T-742fdb,A-fdfc91,11/17/2024,11/17/2024 23:00,23,urgent,120,3,FALSE
T-b45de1,A-a7bd4b,7/11/2023,7/11/2023 11:00,11,high,70,4,FALSE
T-0c38ce,A-bbe56f,11/30/2024,12/1/2024 3:00,27,urgent,79,,FALSE
T-1f01f6,A-4bfa33,12/12/2023,12/12/2023 12:00,12,urgent,46,4,FALSE
T-5b2010,A-038089,4/18/2024,4/18/2024 14:00,14,medium,149,3,FALSE
T-2a5b2f,A-f92792,7/3/2024,7/5/2024 22:00,70,low,80,4,FALSE
T-a7ce4a,A-034368,7/1/2023,7/1/2023 19:00,19,high,124,,FALSE
T-d6c9b1,A-a6d261,2/9/2024,2/9/2024 1:00,1,high,32,5,FALSE
T-8206e8,A-e43bf7,6/17/2024,6/18/2024 14:00,38,low,86,,FALSE
T-fd832d,A-4ae22a,2/11/2023,2/11/2023 4:00,4,low,107,,FALSE
T-3c6a06,A-c62e55,2/3/2024,2/3/2024 21:00,21,urgent,132,4,FALSE
T-bdc427,A-56962b,1/23/2023,1/25/2023 18:00,66,high,79,,FALSE
T-d4a251,A-751bd4,1/10/2023,1/10/2023 15:00,15,urgent,127,3,FALSE
T-d57ae7,A-bf7919,6/11/2023,6/11/2023 17:00,17,low,110,5,FALSE
T-8a7eca,A-fa3095,10/24/2023,10/26/2023 20:00,68,urgent,132,5,FALSE
T-5df251,A-b179bf,10/6/2023,10/8/2023 4:00,52,high,139,,FALSE
T-967ccc,A-acb7f7,12/28/2023,12/30/2023 2:00,50,urgent,144,4,FALSE
T-5bd570,A-dcc3f1,6/10/2023,6/12/2023 11:00,59,low,95,,FALSE
T-9b7b66,A-13466a,6/24/2023,6/24/2023 21:00,21,high,77,5,FALSE
T-4b2c43,A-c4ea60,4/7/2024,4/8/2024 23:00,47,medium,83,3,FALSE
T-eeae26,A-0f3e88,11/24/2023,11/26/2023 12:00,60,low,104,5,FALSE
T-8ec963,A-bc4d48,6/24/2023,6/25/2023 19:00,43,high,133,3,FALSE
T-c8d035,A-bf7919,10/29/2024,10/29/2024 12:00,12,high,53,,FALSE
T-686725,A-993085,3/23/2024,3/25/2024 2:00,50,medium,78,,FALSE
T-926c1c,A-eb7c38,5/13/2024,5/14/2024 12:00,36,medium,119,5,FALSE
T-fcd24e,A-f1f639,12/5/2024,12/5/2024 22:00,22,high,27,5,FALSE
T-6db04f,A-ed510f,7/6/2023,7/8/2023 12:00,60,urgent,46,,FALSE
T-f0e463,A-3cc791,12/4/2023,12/6/2023 22:00,70,low,75,5,FALSE
T-d89dd4,A-6dee43,11/7/2023,11/8/2023 17:00,41,urgent,64,5,FALSE
T-ad83da,A-fb186e,10/18/2023,10/18/2023 21:00,21,urgent,91,,FALSE
T-c8c1c0,A-f446b6,7/28/2023,7/28/2023 14:00,14,low,25,,FALSE
T-8402a1,A-1e6fc3,4/25/2023,4/25/2023 8:00,8,low,122,,FALSE
T-d5bbc8,A-05d3b3,8/13/2023,8/13/2023 11:00,11,medium,19,,FALSE
T-d370a4,A-fd7ad3,12/23/2023,12/25/2023 6:00,54,urgent,118,5,TRUE
T-fd84fa,A-08e34e,3/16/2023,3/17/2023 6:00,30,medium,170,3,FALSE
T-145a95,A-6f50ae,3/1/2023,3/2/2023 10:00,34,medium,144,5,FALSE
T-80284c,A-ce550d,8/24/2023,8/26/2023 2:00,50,urgent,64,3,FALSE
T-0d0582,A-ee42db,2/13/2024,2/15/2024 5:00,53,medium,5,,FALSE
T-b03205,A-b9eed8,5/29/2023,5/30/2023 23:00,47,urgent,40,3,FALSE
T-935cb7,A-5f7781,8/14/2024,8/16/2024 3:00,51,high,21,4,FALSE
T-89db4e,A-31ab9a,8/31/2023,9/2/2023 15:00,63,medium,132,,FALSE
T-787a34,A-396e5f,3/6/2024,3/6/2024 12:00,12,high,147,,FALSE
T-c0b6ed,A-1986ca,7/27/2024,7/29/2024 7:00,55,urgent,30,3,FALSE
T-50b851,A-cea1f0,12/26/2023,12/28/2023 0:00,48,low,42,4,FALSE
T-c98c9f,A-832ec2,2/28/2024,2/28/2024 20:00,20,medium,68,,FALSE
T-b5f0d3,A-016043,10/2/2023,10/2/2023 20:00,20,high,28,4,FALSE
T-699109,A-ced9aa,5/14/2024,5/15/2024 10:00,34,urgent,54,,FALSE
T-9bde67,A-524364,9/30/2023,10/2/2023 11:00,59,high,59,4,FALSE
T-fcedc6,A-5a184f,4/13/2024,4/14/2024 13:00,37,high,33,4,FALSE
T-f7d63c,A-65a46c,10/29/2024,10/30/2024 20:00,44,urgent,4,4,FALSE
T-d62751,A-86cdb4,12/2/2024,12/2/2024 1:00,1,urgent,167,,FALSE
T-22710d,A-1b707d,4/19/2024,4/21/2024 3:00,51,medium,53,,FALSE
T-8384cf,A-d922bf,1/23/2024,1/23/2024 13:00,13,low,95,,FALSE
T-05fd42,A-f45426,8/24/2024,8/25/2024 14:00,38,urgent,38,4,FALSE
T-37b102,A-0be015,4/2/2023,4/3/2023 0:00,24,high,133,4,FALSE
T-dc51a8,A-0532a9,11/24/2024,11/25/2024 3:00,27,low,6,,FALSE
T-76ee80,A-fce879,7/17/2024,7/18/2024 3:00,27,urgent,49,5,FALSE
T-6ea0dd,A-a09355,2/8/2024,2/8/2024 4:00,4,low,87,4,FALSE
T-7fd978,A-22d9d2,12/26/2023,12/26/2023 10:00,10,urgent,8,,FALSE
T-621fb8,A-7f8241,4/19/2024,4/20/2024 12:00,36,medium,135,3,FALSE
T-adcdc9,A-adc1f3,6/12/2023,6/14/2023 23:00,71,urgent,25,4,FALSE
T-6d98ab,A-ced9aa,12/22/2023,12/23/2023 22:00,46,high,124,,FALSE
T-1cea26,A-bcf664,12/18/2023,12/20/2023 21:00,69,high,169,5,TRUE
T-c6dcaf,A-32fb14,3/18/2023,3/20/2023 15:00,63,low,24,,FALSE
T-4bf7c6,A-463db0,8/15/2024,8/15/2024 4:00,4,low,171,4,FALSE
T-7dfa96,A-e888d1,9/12/2023,9/14/2023 16:00,64,low,98,,FALSE
T-22b4a9,A-3cc791,9/18/2024,9/20/2024 10:00,58,urgent,48,3,FALSE
T-bf0575,A-78f02b,4/10/2023,4/12/2023 11:00,59,high,125,5,FALSE
T-0ca62f,A-e40f45,8/31/2023,9/1/2023 5:00,29,urgent,114,5,FALSE
T-20c0bf,A-2d4502,4/23/2023,4/25/2023 16:00,64,urgent,30,5,FALSE
T-1c2c18,A-ed510f,3/28/2024,3/30/2024 8:00,56,urgent,122,,FALSE
T-e07558,A-296d7c,4/27/2024,4/27/2024 14:00,14,urgent,31,3,FALSE
T-d6be94,A-30b4ca,5/5/2023,5/7/2023 9:00,57,medium,125,4,FALSE
T-e6c083,A-443b7c,5/16/2024,5/17/2024 18:00,42,high,81,5,FALSE
T-134bb9,A-2bc93d,11/23/2024,11/23/2024 7:00,7,medium,44,5,FALSE
T-118f13,A-19b2c8,9/5/2024,9/6/2024 8:00,32,high,109,5,FALSE
T-956203,A-ccb686,11/6/2023,11/8/2023 19:00,67,high,30,4,FALSE
T-2ae381,A-f3ff05,7/12/2023,7/14/2023 2:00,50,medium,108,3,FALSE
T-897033,A-1b7577,8/7/2023,8/9/2023 15:00,63,urgent,157,3,FALSE
T-f14a3d,A-0be015,4/13/2023,4/13/2023 13:00,13,urgent,123,,FALSE
T-6bdc37,A-80eeb6,7/23/2023,7/24/2023 17:00,41,high,89,5,FALSE
T-2fee89,A-42e5e1,1/25/2024,1/26/2024 3:00,27,high,124,4,FALSE
T-14ab7d,A-bece89,2/20/2023,2/21/2023 1:00,25,medium,63,5,FALSE
T-c9394b,A-427b69,4/9/2024,4/9/2024 6:00,6,medium,99,,FALSE
T-7b4c85,A-5a215a,7/26/2023,7/28/2023 16:00,64,urgent,18,,FALSE
T-ab2c55,A-45ce7a,8/18/2023,8/19/2023 18:00,42,medium,49,3,FALSE
T-11b816,A-9077b0,9/7/2024,9/7/2024 2:00,2,urgent,180,3,FALSE
T-d51f64,A-558c72,8/28/2024,8/30/2024 12:00,60,low,30,,FALSE
T-675d69,A-19b2c8,2/3/2023,2/4/2023 8:00,32,medium,132,4,FALSE
T-9a1036,A-443b7c,1/24/2023,1/25/2023 7:00,31,urgent,51,5,FALSE
T-ba404b,A-8145a0,1/6/2023,1/6/2023 11:00,11,low,30,5,FALSE
T-9d4edb,A-9174e0,6/9/2023,6/11/2023 5:00,53,low,173,,FALSE
T-2ca992,A-3f9cc0,8/17/2024,8/18/2024 20:00,44,high,28,,FALSE
T-d9cb01,A-0baac2,3/23/2024,3/25/2024 10:00,58,urgent,104,,FALSE
T-3fd10a,A-bcbe98,5/14/2024,5/15/2024 15:00,39,high,29,,FALSE
T-df66b4,A-425e76,10/5/2023,10/8/2023 0:00,72,high,160,3,FALSE
T-16968a,A-e89151,10/10/2024,10/11/2024 5:00,29,medium,54,,FALSE
T-a65a71,A-e89151,4/1/2024,4/3/2024 6:00,54,medium,43,5,FALSE
T-c28542,A-d49cc5,7/18/2024,7/20/2024 4:00,52,medium,32,4,FALSE
T-f3737d,A-1986ca,5/1/2023,5/1/2023 9:00,9,low,100,4,FALSE
T-fb84f7,A-ce550d,10/25/2024,10/27/2024 21:00,69,medium,90,5,FALSE
T-4db8d5,A-40a557,11/24/2024,11/26/2024 3:00,51,urgent,119,5,FALSE
T-9fc75b,A-4c6f11,12/6/2023,12/8/2023 6:00,54,high,173,5,FALSE
T-274882,A-3b37d9,1/3/2023,1/4/2023 8:00,32,medium,89,5,FALSE
T-8444c1,A-69fad4,9/16/2023,9/18/2023 23:00,71,medium,114,4,FALSE
T-d82bc4,A-157070,8/25/2023,8/26/2023 1:00,25,urgent,152,,TRUE
T-604490,A-f9cc74,9/13/2024,9/15/2024 10:00,58,low,115,4,FALSE
T-55edb1,A-b9eed8,1/5/2023,1/6/2023 6:00,30,medium,87,5,FALSE
T-466dab,A-d82ef9,3/26/2023,3/28/2023 16:00,64,urgent,38,5,FALSE
T-dd5960,A-f19b24,1/22/2024,1/22/2024 13:00,13,urgent,73,,TRUE
T-ef33cf,A-1e1b80,1/26/2024,1/27/2024 0:00,24,medium,16,,FALSE
T-d8aafb,A-fa3095,10/5/2024,10/7/2024 6:00,54,low,91,,FALSE
T-a14a68,A-86fc1d,8/15/2023,8/17/2023 16:00,64,high,38,3,FALSE
T-0e6900,A-d42431,2/28/2023,3/1/2023 6:00,30,medium,20,,FALSE
T-5e66ab,A-c37601,1/26/2023,1/26/2023 19:00,19,urgent,180,4,FALSE
T-a5e537,A-186a44,4/22/2023,4/24/2023 14:00,62,high,176,3,FALSE
T-7e77dc,A-7cfe77,12/23/2023,12/23/2023 19:00,19,medium,42,,FALSE
T-e2d68e,A-8ae3fc,4/27/2023,4/29/2023 21:00,69,high,14,,FALSE
T-f6909c,A-5a92e7,5/18/2023,5/19/2023 23:00,47,medium,9,5,FALSE
T-154975,A-313be3,7/16/2023,7/17/2023 13:00,37,urgent,70,,FALSE
T-2b6bb1,A-993085,2/20/2024,2/22/2024 20:00,68,high,33,4,FALSE
T-95452e,A-aa9511,8/9/2023,8/11/2023 9:00,57,urgent,61,,FALSE
T-da0863,A-1e6fc3,12/30/2023,12/30/2023 22:00,22,high,2,5,FALSE
T-65d099,A-e60f9d,2/9/2024,2/11/2024 22:00,70,urgent,81,,FALSE
T-5ceddb,A-4d1e75,7/10/2024,7/10/2024 3:00,3,medium,173,4,FALSE
T-4579d9,A-76fa4d,6/23/2023,6/24/2023 5:00,29,medium,57,5,FALSE
T-4669d1,A-4ae22a,3/8/2024,3/9/2024 6:00,30,low,101,3,FALSE
T-1acc04,A-8145a0,8/8/2023,8/8/2023 19:00,19,high,85,,FALSE
T-284720,A-cc102e,4/11/2024,4/11/2024 1:00,1,low,93,3,FALSE
T-20d740,A-8145a0,2/2/2024,2/3/2024 14:00,38,medium,119,,FALSE
T-df87ef,A-67be94,3/3/2023,3/5/2023 20:00,68,high,7,5,FALSE
T-9def1e,A-ffc04f,2/23/2023,2/23/2023 4:00,4,high,18,4,FALSE
T-0bc38a,A-c70870,7/8/2023,7/8/2023 19:00,19,low,159,5,FALSE
T-0de7f1,A-e7beab,9/22/2024,9/23/2024 1:00,25,low,172,,FALSE
T-d4805c,A-1b9609,6/22/2023,6/22/2023 16:00,16,low,42,,FALSE
T-b35070,A-39b19f,4/1/2023,4/3/2023 19:00,67,high,133,,FALSE
T-73d14f,A-726cfa,8/22/2023,8/24/2023 13:00,61,low,142,4,FALSE
T-035748,A-e98302,9/25/2023,9/27/2023 8:00,56,urgent,133,4,FALSE
T-b918db,A-f25509,5/8/2024,5/8/2024 21:00,21,low,162,5,FALSE
T-3cdeb2,A-600734,9/9/2024,9/11/2024 17:00,65,medium,88,,FALSE
T-7309d6,A-ccabf0,4/18/2024,4/19/2024 19:00,43,medium,43,,FALSE
T-2795e4,A-09316c,12/20/2024,12/22/2024 21:00,69,low,81,3,FALSE
T-a32dd4,A-6a7c9d,4/27/2024,4/28/2024 3:00,27,high,13,,FALSE
T-e41843,A-c9bb3e,7/22/2023,7/23/2023 6:00,30,high,119,4,FALSE
T-81a9e7,A-712f1c,2/27/2024,2/28/2024 19:00,43,medium,108,4,FALSE
T-38714f,A-fe79a5,12/25/2024,12/25/2024 7:00,7,high,63,,FALSE
T-322072,A-8e47ca,2/17/2023,2/18/2023 11:00,35,high,130,,FALSE
T-99b0b8,A-a0ca4e,10/17/2023,10/19/2023 11:00,59,low,148,3,FALSE
T-98be51,A-5790f4,7/7/2024,7/9/2024 22:00,70,medium,13,4,FALSE
T-bb7fa9,A-7f6b86,9/17/2024,9/19/2024 9:00,57,high,81,4,FALSE
T-0a3847,A-49b828,10/4/2024,10/4/2024 9:00,9,medium,20,3,TRUE
T-6dbff1,A-bcbe98,5/27/2024,5/29/2024 4:00,52,medium,11,3,TRUE
T-8be779,A-139c3b,10/26/2023,10/26/2023 21:00,21,low,5,,FALSE
T-791dc9,A-0aaf6e,3/29/2023,3/30/2023 20:00,44,low,127,,FALSE
T-b25f66,A-f3ff05,12/17/2023,12/19/2023 3:00,51,low,104,4,FALSE
T-992cf9,A-c9bb3e,12/14/2024,12/14/2024 16:00,16,medium,21,4,FALSE
T-d72e3b,A-bd4708,11/15/2024,11/15/2024 5:00,5,medium,34,3,FALSE
T-e46e71,A-9badbd,10/19/2023,10/19/2023 17:00,17,urgent,125,,FALSE
T-c5ffb0,A-ce66f8,5/27/2024,5/28/2024 13:00,37,urgent,139,,FALSE
T-cb3efb,A-e7beab,9/16/2023,9/16/2023 19:00,19,high,28,5,FALSE
T-885f5b,A-4e960a,8/8/2023,8/8/2023 13:00,13,low,141,4,FALSE
T-a45f3e,A-d792a6,2/11/2024,2/12/2024 21:00,45,urgent,174,4,FALSE
T-e834e7,A-310452,12/29/2024,12/30/2024 0:00,24,medium,46,4,FALSE
T-ddf662,A-5247b3,1/14/2024,1/15/2024 9:00,33,high,66,,FALSE
T-210819,A-ed510f,9/13/2024,9/13/2024 11:00,11,medium,87,4,FALSE
T-416fb5,A-b9eed8,11/10/2023,11/11/2023 0:00,24,medium,114,3,FALSE
T-7cdb82,A-bd4513,4/26/2023,4/28/2023 23:00,71,medium,37,4,FALSE
T-c9f3f0,A-309e54,7/19/2024,7/20/2024 2:00,26,high,145,,FALSE
T-45239b,A-7f6b86,10/28/2024,10/30/2024 17:00,65,high,29,,FALSE
T-a61785,A-756192,4/3/2023,4/5/2023 11:00,59,urgent,17,,FALSE
T-112307,A-9badbd,10/12/2023,10/14/2023 8:00,56,urgent,37,5,FALSE
T-8a14a4,A-ac85cd,11/19/2023,11/21/2023 13:00,61,medium,128,3,FALSE
T-4cf1f9,A-d792a6,12/29/2024,12/29/2024 14:00,14,urgent,125,,FALSE
T-ae29f6,A-9a532a,9/12/2023,9/13/2023 21:00,45,high,176,,FALSE
T-a5de10,A-ce550d,6/3/2024,6/4/2024 12:00,36,medium,98,4,FALSE
